,bug_id,bug report text,bug report description,generated patch id,patch text,label
<<<<<<< HEAD
0,Math,ListPopulation Iterator allows remove chromosomes population,Calling iterator method ListPopulation returns iterator protected modifiable list returning iterator wrap unmodifiable list,Calling iterator method ListPopulation returns iterator protected modifiable list returning iterator wrap unmodifiable list,Calling iterator method ListPopulation returns iterator protected modifiable list returning iterator wrap unmodifiable list,1
0,Math,BisectionSolver solve final UnivariateRealFunction f double min double max double initial throws NullPointerException,Method BisectionSolver solve final UnivariateRealFunction f double min double max double initial invokes BisectionSolver solve double min double max throws NullPointerException member variable UnivariateRealSolverImpl f null Instead method BisectionSolver solve final UnivariateRealFunction f double min double max called Steps reproduce invoke new BisectionSolver solve someUnivariateFunctionImpl 0 0 1 0 0 5 NullPointerException thrown,Method BisectionSolver solve final UnivariateRealFunction f double min double max double initial invokes BisectionSolver solve double min double max throws NullPointerException member variable UnivariateRealSolverImpl f null Instead method BisectionSolver solve final UnivariateRealFunction f double min double max called Steps reproduce invoke new BisectionSolver solve someUnivariateFunctionImpl       NullPointerException thrown,Method BisectionSolver solve final UnivariateRealFunction f double min double max double initial invokes BisectionSolver solve double min double max throws NullPointerException member variable UnivariateRealSolverImpl f null Instead method BisectionSolver solve final UnivariateRealFunction f double min double max called Steps reproduce invoke new BisectionSolver solve someUnivariateFunctionImpl NullPointerException thrown,1
0,Math,Complex ZERO reciprocal returns NaN return INF,Complex ZERO reciprocal returns NaN return INF Class org apache commons math3 complex Complex Method reciprocal version Id Complex java 1416643 2012 12 03 19 37 14Z tn,Complex ZERO reciprocal returns NaN return INF Class org apache commons math complex Complex Method reciprocal version Id Complex java       Z tn,Complex ZERO reciprocal returns NaN return INF Class org apache commons math complex Complex Method reciprocal version Id Complex java Z tn,1
0,Math,Fix deprecate isSupportXxxInclusive RealDistribution interface,conclusion 1 never implemented deprecate properties RealDistribution interface since removal wait 4 0 agree precise definition fix code match mean time definition propose isSupportXxxInclusive means density function applied upper lower bound support returned getSupportXxxBound finite e infinite NaN value returned 1 http markmail org message dxuxh7eybl7xejde,conclusion  never implemented deprecate properties RealDistribution interface since removal wait   agree precise definition fix code match mean time definition propose isSupportXxxInclusive means density function applied upper lower bound support returned getSupportXxxBound finite e infinite NaN value returned  http markmail org message dxuxheyblxejde,conclusion never implemented deprecate properties RealDistribution interface since removal wait agree precise definition fix code match mean time definition propose isSupportXxxInclusive means density function applied upper lower bound support returned getSupportXxxBound finite e infinite NaN value returned http markmail org message dxuxheyblxejde,1
0,Time,Inconsistent interpretation ambiguous time DST,inconsistency appears timezone Europe London three DateTime objects represent moment time even ambiguous always returns earlier instant summer time overlap,inconsistency appears timezone Europe London three DateTime objects represent moment time even ambiguous always returns earlier instant summer time overlap,inconsistency appears timezone Europe London three DateTime objects represent moment time even ambiguous always returns earlier instant summer time overlap,1
0,Lang,NullPointerException isAvailableLocale Locale,FindBugs pointed UwF Field initialized constructor org apache commons lang LocaleUtils cAvailableLocaleSet cAvailableSet used directly source availableLocaleSet called cause NullPointerException,FindBugs pointed UwF Field initialized constructor org apache commons lang LocaleUtils cAvailableLocaleSet cAvailableSet used directly source availableLocaleSet called cause NullPointerException,FindBugs pointed UwF Field initialized constructor org apache commons lang LocaleUtils cAvailableLocaleSet cAvailableSet used directly source availableLocaleSet called cause NullPointerException,1
0,Closure,Closure removes needed code,None,None,None,1
0,Closure,Use public tag prevent compression symbol names,None,None,None,1
0,Closure,statement,None,None,None,1
0,Closure,Cannot exclude globalThis checks command line,None,None,None,1
0,Closure,bug implicit namespaces across modules,None,None,None,1
0,Closure,enum type correctly,None,None,None,1
0,Closure,Typos externs html5 js,None,None,None,1
0,Closure,Optimisation convert array join array join,None,None,None,1
0,Closure,Cryptic error message invalid type function annotation,None,None,None,1
0,Closure,Compiler gives false error respect unreachable code,None,None,None,1
0,Closure,compiler crashes goog provide used non string,None,None,None,1
0,Closure,Preserve preserve whitespace start line,None,None,None,1
0,Closure,assignment object conditional causes type error function w record type return type,None,None,None,1
0,Closure,compiler assumes arguments shadowed,None,None,None,1
0,Closure,Compiler warn error instance methods operated,None,None,None,1
0,Closure,Last warning error output truncated,None,None,None,1
0,Closure,Array Join Munged Incorrectly,None,None,None,1
0,Closure,0 0 becomes 0 even whitespace mode,None,None,None,1
0,Closure,Online CC bug report java error,None,None,None,1
0,Closure,Exception parsing erroneous jsdoc return code foo bar baz,None,None,None,1
0,Closure,Advanced compilations renames function deletes leaving reference renamed non existent function,None,None,None,1
0,Closure,closure compiler define annotation allow line split 80 characters,None,None,None,1
0,Closure,void function wrongly identified side effects,None,None,None,1
0,Closure,StackOverflowError exception running closure compiler javascript attached,None,None,None,1
0,Closure,weird object literal invalid property error unrelated object prototype,None,None,None,1
0,Closure,String conversion optimization incorrect,None,None,None,1
0,Closure,Dependency sorting closurePass set false longer works,None,None,None,1
0,Closure,Error trying build try catch block AST,None,None,None,1
0,Closure,Compiler fails find amd module subdirectory,None,None,None,1
0,Closure,Record type invalid property reported function annotation,None,None,None,1
0,Closure,Bad type inference goog isFunction friends,None,None,None,1
0,Closure,closure compiler screws perfectly valid isFunction implementation,None,None,None,1
0,Closure,JSCompiler recursively resolve typedefs,None,None,None,1
0,Closure,Casting function calling produces bad code breaks plugin code,None,None,None,1
0,Closure,Simple Whitespace compression removing keyword var x arr loop,None,None,None,1
0,Closure,Compiler removes function properties,None,None,None,1
0,Closure,Erroneous optimization ADVANCED OPTIMIZATIONS mode,None,None,None,1
0,Closure,Assignment removed used expression result Array push,None,None,None,1
0,Closure,goog isArray hint compiler,None,None,None,1
0,Closure,Codepoint U 007f appears raw output,None,None,None,1
0,Closure,Prototype method incorrectly removed,None,None,None,1
0,Closure,IE8 error Object support action,None,None,None,1
0,Closure,Break finally block optimized properly,None,None,None,1
0,Closure,Unexpected expression nodeDELPROP 1,None,None,None,1
0,Closure,Obvious optimizations works inline,None,None,None,1
0,Closure,Overzealous optimization confuses variables,None,None,None,1
0,Closure,better type checking,None,None,None,1
0,Closure,constant functions inlined aggressively enough,None,None,None,1
0,Closure,const dumps type cast information,None,None,None,1
0,Closure,function arguments optimized away,None,None,None,1
0,Closure,Wrong code generated mixing types ternary operator,None,None,None,1
0,Closure,Type refining raises IllegalArgumentException,None,None,None,1
0,Closure,ProcessCommonJSModules module exports failures checkTypes enabled,None,None,None,1
0,Closure,Obfuscated code triggers TypeError Firefox,None,None,None,1
0,Closure,Classify non rightmost expressions problematic,None,None,None,1
0,Closure,closure compiled swfobject error,None,None,None,1
0,Closure,unnamed function statement statements generate parse error,None,None,None,1
0,Closure,Overzealous optimization confuses variables,None,None,None,1
0,Closure,catch e yields JSC UNDEFINED NAME warning e used catch advanced mode,None,None,None,1
0,Closure,side effects analysis incorrectly removing function calls side effects,None,None,None,1
0,Closure,Internal Compiler Error Bullet,None,None,None,1
0,Closure,Break finally block optimized properly,None,None,None,1
0,Closure,alert,None,None,None,1
0,Closure,Allow private top level functions goog scope,None,None,None,1
0,Closure,lends work unless class defined beforehand,None,None,None,1
0,Closure,compiler quotes 0 keys object literals,None,None,None,1
