1,983,https://sourceforge.net/p/jfreechart/bugs/983
2,959,https://sourceforge.net/p/jfreechart/bugs/959
3,UNKNOWN,UNKNOWN
4,UNKNOWN,UNKNOWN
5,862,https://sourceforge.net/p/jfreechart/bugs/862
6,UNKNOWN,UNKNOWN
7,UNKNOWN,UNKNOWN
8,UNKNOWN,UNKNOWN
9,818,https://sourceforge.net/p/jfreechart/bugs/818
10,UNKNOWN,UNKNOWN
11,868,https://sourceforge.net/p/jfreechart/bugs/868
12,213,https://sourceforge.net/p/jfreechart/patches/213
13,UNKNOWN,UNKNOWN
14,UNKNOWN,UNKNOWN
15,UNKNOWN,UNKNOWN
16,834,https://sourceforge.net/p/jfreechart/bugs/834
17,803,https://sourceforge.net/p/jfreechart/bugs/803
18,UNKNOWN,UNKNOWN
19,UNKNOWN,UNKNOWN
20,UNKNOWN,UNKNOWN
21,UNKNOWN,UNKNOWN
22,UNKNOWN,UNKNOWN
23,UNKNOWN,UNKNOWN
24,UNKNOWN,UNKNOWN
25,UNKNOWN,UNKNOWN
26,UNKNOWN,UNKNOWN
